Input is random
Test input is from input.txt
Enter number of tests (m > 0): 1000
Enter number of nodes in graph (n > 2): 3
Test 1 (139 <-> 139)
Test 2 (97 <-> 97)
Test 3 (165 <-> 165)
Test 4 (278 <-> 278)
Test 5 (129 <-> 129)
Test 6 (118 <-> 118)
Test 7 (75 <-> 75)
Test 8 (68 <-> 68)
Test 9 (205 <-> 205)
Test 10 (164 <-> 164)
Test 11 (184 <-> 184)
Test 12 (206 <-> 206)
Test 13 (159 <-> 159)
Test 14 (117 <-> 117)
Test 15 (140 <-> 140)
Test 16 (173 <-> 173)
Test 17 (53 <-> 53)
Test 18 (106 <-> 106)
Test 19 (239 <-> 239)
Test 20 (150 <-> 150)
Test 21 (188 <-> 188)
Test 22 (168 <-> 168)
Test 23 (152 <-> 152)
Test 24 (123 <-> 123)
Test 25 (200 <-> 200)
Test 26 (181 <-> 181)
Test 27 (119 <-> 119)
Test 28 (174 <-> 174)
Test 29 (142 <-> 142)
Test 30 (153 <-> 153)
Test 31 (163 <-> 163)
Test 32 (153 <-> 153)
Test 33 (100 <-> 100)
Test 34 (109 <-> 109)
Test 35 (123 <-> 123)
Test 36 (114 <-> 114)
Test 37 (180 <-> 180)
Test 38 (219 <-> 219)
Test 39 (191 <-> 191)
Test 40 (129 <-> 129)
Test 41 (123 <-> 123)
Test 42 (52 <-> 52)
Test 43 (151 <-> 151)
Test 44 (85 <-> 85)
Test 45 (169 <-> 169)
Test 46 (104 <-> 104)
Test 47 (100 <-> 100)
Test 48 (147 <-> 147)
Test 49 (146 <-> 146)
Test 50 (180 <-> 180)
Test 51 (59 <-> 59)
Test 52 (125 <-> 125)
Test 53 (52 <-> 52)
Test 54 (164 <-> 164)
Test 55 (231 <-> 231)
Test 56 (88 <-> 88)
Test 57 (138 <-> 138)
Test 58 (225 <-> 225)
Test 59 (130 <-> 130)
Test 60 (174 <-> 174)
Test 61 (170 <-> 170)
Test 62 (78 <-> 78)
Test 63 (117 <-> 117)
Test 64 (165 <-> 165)
Test 65 (202 <-> 202)
Test 66 (131 <-> 131)
Test 67 (110 <-> 110)
Test 68 (164 <-> 164)
Test 69 (157 <-> 157)
Test 70 (143 <-> 143)
Test 71 (131 <-> 131)
Test 72 (197 <-> 197)
Test 73 (166 <-> 166)
Test 74 (65 <-> 65)
Test 75 (198 <-> 198)
Test 76 (131 <-> 131)
Test 77 (226 <-> 226)
Test 78 (200 <-> 200)
Test 79 (124 <-> 124)
Test 80 (156 <-> 156)
Test 81 (124 <-> 124)
Test 82 (126 <-> 126)
Test 83 (225 <-> 225)
Test 84 (102 <-> 102)
Test 85 (180 <-> 180)
Test 86 (184 <-> 184)
Test 87 (218 <-> 218)
Test 88 (207 <-> 207)
Test 89 (183 <-> 183)
Test 90 (234 <-> 234)
Test 91 (198 <-> 198)
Test 92 (185 <-> 185)
Test 93 (139 <-> 139)
Test 94 (224 <-> 224)
Test 95 (96 <-> 96)
Test 96 (89 <-> 89)
Test 97 (46 <-> 46)
Test 98 (153 <-> 153)
Test 99 (184 <-> 184)
Test 100 (160 <-> 160)
Test 101 (233 <-> 233)
Test 102 (217 <-> 217)
Test 103 (192 <-> 192)
Test 104 (149 <-> 149)
Test 105 (155 <-> 155)
Test 106 (58 <-> 58)
Test 107 (143 <-> 143)
Test 108 (174 <-> 174)
Test 109 (142 <-> 142)
Test 110 (217 <-> 217)
Test 111 (150 <-> 150)
Test 112 (118 <-> 118)
Test 113 (124 <-> 124)
Test 114 (215 <-> 215)
Test 115 (178 <-> 178)
Test 116 (167 <-> 167)
Test 117 (113 <-> 113)
Test 118 (59 <-> 59)
Test 119 (86 <-> 86)
Test 120 (153 <-> 153)
Test 121 (159 <-> 159)
Test 122 (189 <-> 189)
Test 123 (214 <-> 214)
Test 124 (169 <-> 169)
Test 125 (88 <-> 88)
Test 126 (133 <-> 133)
Test 127 (157 <-> 157)
Test 128 (135 <-> 135)
Test 129 (259 <-> 259)
Test 130 (66 <-> 66)
Test 131 (115 <-> 115)
Test 132 (58 <-> 58)
Test 133 (141 <-> 141)
Test 134 (173 <-> 173)
Test 135 (200 <-> 200)
Test 136 (200 <-> 200)
Test 137 (214 <-> 214)
Test 138 (142 <-> 142)
Test 139 (185 <-> 185)
Test 140 (136 <-> 136)
Test 141 (149 <-> 149)
Test 142 (159 <-> 159)
Test 143 (199 <-> 199)
Test 144 (121 <-> 121)
Test 145 (186 <-> 186)
Test 146 (146 <-> 146)
Test 147 (180 <-> 180)
Test 148 (212 <-> 212)
Test 149 (122 <-> 122)
Test 150 (147 <-> 147)
Test 151 (84 <-> 84)
Test 152 (219 <-> 219)
Test 153 (115 <-> 115)
Test 154 (108 <-> 108)
Test 155 (221 <-> 221)
Test 156 (136 <-> 136)
Test 157 (106 <-> 106)
Test 158 (129 <-> 129)
Test 159 (195 <-> 195)
